Data As Of,Start Date,End Date,Group,State,Place of Death,COVID-19 Deaths
11/23/2022,01/01/2020,11/19/2022,By Total,United States,Total - All Places of Death,1072299
11/23/2022,01/01/2020,11/19/2022,By Total,United States,"Healthcare setting, inpatient",712454
11/23/2022,01/01/2020,11/19/2022,By Total,United States,"Healthcare setting, outpatient or emergency room",38289
11/23/2022,01/01/2020,11/19/2022,By Total,United States,"Healthcare setting, dead on arrival",1046
11/23/2022,01/01/2020,11/19/2022,By Total,United States,Decedent's home,103695
11/23/2022,01/01/2020,11/19/2022,By Total,United States,Hospice facility,36250
11/23/2022,01/01/2020,11/19/2022,By Total,United States,Nursing home/long term care facility,157007
11/23/2022,01/01/2020,11/19/2022,By Total,United States,Other,23436
11/23/2022,01/01/2020,11/19/2022,By Total,United States,Place of death unknown,122
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,Total - All Places of Death,20372
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,"Healthcare setting, inpatient",15436
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,"Healthcare setting, outpatient or emergency room",742
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,"Healthcare setting, dead on arrival",12
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,Decedent's home,1864
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,Hospice facility,263
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,Nursing home/long term care facility,1854
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,Other,201
11/23/2022,01/01/2020,11/19/2022,By Total,Alabama,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,Total - All Places of Death,1404
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,"Healthcare setting, inpatient",988
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,"Healthcare setting, outpatient or emergency room",55
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,"Healthcare setting, dead on arrival",0
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,Decedent's home,229
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,Hospice facility,0
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,Nursing home/long term care facility,97
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,Other,35
11/23/2022,01/01/2020,11/19/2022,By Total,Alaska,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,Total - All Places of Death,28553
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,"Healthcare setting, inpatient",19592
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,"Healthcare setting, outpatient or emergency room",885
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,"Healthcare setting, dead on arrival",
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,Decedent's home,3060
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,Hospice facility,1487
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,Nursing home/long term care facility,1827
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,Other,1696
11/23/2022,01/01/2020,11/19/2022,By Total,Arizona,Place of death unknown,0
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,Total - All Places of Death,11921
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,"Healthcare setting, inpatient",7831
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,"Healthcare setting, outpatient or emergency room",516
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,"Healthcare setting, dead on arrival",16
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,Decedent's home,994
11/23/2022,01/01/2020,11/19/2022,By Total,Arkansas,Hospice facility,536
