Data As Of,Start Date,End Date,Group,State,Place of Death,COVID-19 Deaths
10/26/2022,01/01/2020,10/22/2022,By Total,United States,Total - All Places of Death,1062947
10/26/2022,01/01/2020,10/22/2022,By Total,United States,"Healthcare setting, inpatient",708244
10/26/2022,01/01/2020,10/22/2022,By Total,United States,"Healthcare setting, outpatient or emergency room",37882
10/26/2022,01/01/2020,10/22/2022,By Total,United States,"Healthcare setting, dead on arrival",1039
10/26/2022,01/01/2020,10/22/2022,By Total,United States,Decedent's home,101968
10/26/2022,01/01/2020,10/22/2022,By Total,United States,Hospice facility,35585
10/26/2022,01/01/2020,10/22/2022,By Total,United States,Nursing home/long term care facility,155034
10/26/2022,01/01/2020,10/22/2022,By Total,United States,Other,23073
10/26/2022,01/01/2020,10/22/2022,By Total,United States,Place of death unknown,122
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,Total - All Places of Death,20279
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,"Healthcare setting, inpatient",15395
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,"Healthcare setting, outpatient or emergency room",739
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,"Healthcare setting, dead on arrival",12
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,Decedent's home,1845
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,Hospice facility,257
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,Nursing home/long term care facility,1831
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,Other,200
10/26/2022,01/01/2020,10/22/2022,By Total,Alabama,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,Total - All Places of Death,1389
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,"Healthcare setting, inpatient",980
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,"Healthcare setting, outpatient or emergency room",55
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,"Healthcare setting, dead on arrival",0
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,Decedent's home,223
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,Hospice facility,0
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,Nursing home/long term care facility,96
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,Other,35
10/26/2022,01/01/2020,10/22/2022,By Total,Alaska,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,Total - All Places of Death,28393
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,"Healthcare setting, inpatient",19535
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,"Healthcare setting, outpatient or emergency room",876
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,Decedent's home,3029
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,Hospice facility,1469
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,Nursing home/long term care facility,1790
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,Other,1688
10/26/2022,01/01/2020,10/22/2022,By Total,Arizona,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,Total - All Places of Death,11814
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,"Healthcare setting, inpatient",7781
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,"Healthcare setting, outpatient or emergency room",508
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,"Healthcare setting, dead on arrival",16
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,Decedent's home,971
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,Hospice facility,531
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,Nursing home/long term care facility,1864
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,Other,143
10/26/2022,01/01/2020,10/22/2022,By Total,Arkansas,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,California,Total - All Places of Death,101111
10/26/2022,01/01/2020,10/22/2022,By Total,California,"Healthcare setting, inpatient",72418
10/26/2022,01/01/2020,10/22/2022,By Total,California,"Healthcare setting, outpatient or emergency room",3919
10/26/2022,01/01/2020,10/22/2022,By Total,California,"Healthcare setting, dead on arrival",26
10/26/2022,01/01/2020,10/22/2022,By Total,California,Decedent's home,11125
10/26/2022,01/01/2020,10/22/2022,By Total,California,Hospice facility,411
10/26/2022,01/01/2020,10/22/2022,By Total,California,Nursing home/long term care facility,9007
10/26/2022,01/01/2020,10/22/2022,By Total,California,Other,4204
10/26/2022,01/01/2020,10/22/2022,By Total,California,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,Total - All Places of Death,14125
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,"Healthcare setting, inpatient",7982
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,"Healthcare setting, outpatient or emergency room",329
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,"Healthcare setting, dead on arrival",14
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,Decedent's home,2142
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,Hospice facility,406
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,Nursing home/long term care facility,2952
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,Other,300
10/26/2022,01/01/2020,10/22/2022,By Total,Colorado,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,Total - All Places of Death,11585
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,"Healthcare setting, inpatient",6950
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,"Healthcare setting, outpatient or emergency room",428
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,"Healthcare setting, dead on arrival",19
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,Decedent's home,671
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,Hospice facility,202
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,Nursing home/long term care facility,3098
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,Other,217
10/26/2022,01/01/2020,10/22/2022,By Total,Connecticut,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,Total - All Places of Death,3127
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,"Healthcare setting, inpatient",1953
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,"Healthcare setting, outpatient or emergency room",91
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,"Healthcare setting, dead on arrival",
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,Decedent's home,328
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,Hospice facility,161
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,Nursing home/long term care facility,573
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,Other,19
10/26/2022,01/01/2020,10/22/2022,By Total,Delaware,Place of death unknown,
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,Total - All Places of Death,2099
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,"Healthcare setting, inpatient",1622
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,"Healthcare setting, outpatient or emergency room",87
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,"Healthcare setting, dead on arrival",0
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,Decedent's home,172
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,Hospice facility,36
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,Nursing home/long term care facility,152
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,Other,30
10/26/2022,01/01/2020,10/22/2022,By Total,District of Columbia,Place of death unknown,0
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,Total - All Places of Death,75965
10/26/2022,01/01/2020,10/22/2022,By Total,Florida,"Healthcare setting, inpatient",52381
